文法,章節,等級,類型,接續,中文意思,例句1,中文翻譯1,例句2,中文翻譯2,易錯點,狀態,複習日期
〜で行きます,交通,N5,必學,交通工具 + で + 行きます,搭...去,"バスで行きます。","搭公車去。","電車で学校へ行きます。","搭電車去學校。","交通工具用で。走路是歩いて。",待學,
〜で食べます,場所,N5,必學,場所 + で + 動詞,在某地做動作,"家でご飯を食べます。","在家吃飯。","図書館で本を読みます。","在圖書館讀書。","動作發生的地點用で，存在地點用に。",待學,
〜ません,否定,N5,必學,Vます去ます + ません,不做...,"今日は行きません。","今天不去。","肉を食べません。","不吃肉。","ます形否定是ません。",待學,
〜ました,過去,N5,必學,Vます去ます + ました,做了...,"昨日、映画を見ました。","昨天看了電影。","朝ご飯を食べました。","吃了早餐。","禮貌過去式用ました。",待學,
〜ませんでした,過去否定,N5,必學,Vます去ます + ませんでした,沒有做...,"昨日、勉強しませんでした。","昨天沒有讀書。","朝ご飯を食べませんでした。","沒有吃早餐。","不是ませんた，完整是ませんでした。",待學,
い形容詞 + です,い形容詞,N5,必學,い形容詞 + です,很...,"この本はおもしろいです。","這本書很有趣。","今日は暑いです。","今天很熱。","い形容詞可直接接です。",待學,
い形容詞否定,い形容詞,N5,必學,い形容詞去い + くないです,不...,"この料理は高くないです。","這道料理不貴。","今日は寒くないです。","今天不冷。","不要說高いじゃありません。",待學,
い形容詞過去,い形容詞,N5,必學,い形容詞去い + かったです,以前很...,"昨日は暑かったです。","昨天很熱。","映画はおもしろかったです。","電影很有趣。","いい的過去是よかったです。",待學,
な形容詞 + です,な形容詞,N5,必學,な形容詞 + です,很...,"この町は静かです。","這個城市很安靜。","この部屋はきれいです。","這個房間很乾淨。","な形容詞接名詞時才加な。",待學,
な形容詞否定,な形容詞,N5,必學,な形容詞 + ではありません,不...,"ここは静かではありません。","這裡不安靜。","この店は便利ではありません。","這家店不方便。","口語可說じゃありません。",待學,
な形容詞 + な + 名詞,な形容詞,N5,必學,な形容詞 + な + N,...的名詞,"静かな町です。","是安靜的城市。","きれいな部屋です。","是乾淨的房間。","修飾名詞時要加な。",待學,
〜の前に,位置,N5,常考,N + の前に,在...前面,"駅の前に銀行があります。","車站前有銀行。","机の前に椅子があります。","桌子前有椅子。","前に可表示位置，也可表示時間之前。",待學,
〜の後ろに,位置,N5,常考,N + の後ろに,在...後面,"家の後ろに公園があります。","家後面有公園。","車の後ろに猫がいます。","車後面有貓。","後ろ讀うしろ。",待學,
〜の上に,位置,N5,常考,N + の上に,在...上面,"机の上に本があります。","桌上有書。","棚の上に時計があります。","架子上有時鐘。","上に強調位置在上方或表面。",待學,
〜の下に,位置,N5,常考,N + の下に,在...下面,"机の下にかばんがあります。","桌下有包包。","椅子の下に猫がいます。","椅子下面有貓。","下讀した。",待學,
〜から〜まで,時間 / 範圍,N5,必學,N + から + N + まで,從...到...,"学校は九時から三時までです。","學校從九點到三點。","東京から大阪まで行きます。","從東京去到大阪。","可用於時間也可用於地點。",待學,
〜時に,時間,N5,必學,時間 + に,在幾點,"七時に起きます。","七點起床。","九時に学校へ行きます。","九點去學校。","具體時間點用に，今天明天通常不用に。",待學,
〜ごろ,時間,N5,常用,時間 + ごろ,大約...點,"七時ごろ起きます。","大約七點起床。","十時ごろ寝ます。","大約十點睡。","ごろ表示大概時間點，ぐらい表示大概量。",待學,
毎日〜ます,頻率,N5,必學,毎日 + Vます,每天做...,"毎日、日本語を勉強します。","每天學日文。","毎日、コーヒーを飲みます。","每天喝咖啡。","毎日後面不一定要加に。",待學,
よく〜ます,頻率,N5,常用,よく + Vます,常常做...,"よく音楽を聞きます。","常常聽音樂。","よく本を読みます。","常常讀書。","よく是副詞，放動詞前很自然。",待學,
あまり〜ません,頻率,N5,常考,あまり + Vません,不太...,"あまりテレビを見ません。","不太看電視。","あまり肉を食べません。","不太吃肉。","あまり常和否定一起用。",待學,
全然〜ません,頻率,N5,常考,全然 + Vません,完全不...,"全然わかりません。","完全不懂。","全然行きません。","完全不去。","初級先記全然配否定。",待學,
〜ましょう,邀請 / 提議,N5,必學,Vます去ます + ましょう,一起...吧,"一緒に行きましょう。","一起去吧。","日本語を勉強しましょう。","一起學日文吧。","比命令柔和，是提議。",待學,
〜ませんか,邀請,N5,必學,Vます去ます + ませんか,要不要...,"一緒に映画を見ませんか。","要不要一起看電影？","コーヒーを飲みませんか。","要不要喝咖啡？","比ましょう更像邀請對方。",待學,
〜てください,請求,N5,必學,Vて形 + ください,請做...,"名前を書いてください。","請寫名字。","少し待ってください。","請稍等一下。","需要先會て形變化。",待學,
〜てもいいです,許可,N5,常考,Vて形 + もいいです,可以做...,"ここで写真を撮ってもいいです。","可以在這裡拍照。","水を飲んでもいいです。","可以喝水。","問句是てもいいですか。",待學,
〜てはいけません,禁止,N5,常考,Vて形 + はいけません,不可以做...,"ここでタバコを吸ってはいけません。","不可以在這裡抽菸。","教室で食べてはいけません。","不可以在教室吃東西。","は可口語讀成wa。",待學,
〜たいです,願望,N5,必學,Vます去ます + たいです,想做...,"日本へ行きたいです。","想去日本。","寿司を食べたいです。","想吃壽司。","たい像い形容詞一樣變化。",待學,
〜たくないです,願望否定,N5,常用,Vます去ます + たくないです,不想做...,"今日は勉強したくないです。","今天不想讀書。","肉を食べたくないです。","不想吃肉。","たい否定是たくない。",待學,
〜より〜のほうが,比較,N5,常考,N1よりN2のほうが + 形容詞,N2比N1更...,"東京より京都のほうが静かです。","京都比東京安靜。","肉より魚のほうが好きです。","比起肉，我更喜歡魚。","被比較的放在より前面。",待學,
〜の中で〜が一番,最高級,N5,常考,Nの中でNが一番 + 形容詞,在...之中最...,"果物の中でりんごが一番好きです。","水果中我最喜歡蘋果。","一年の中で夏が一番暑いです。","一年中夏天最熱。","範圍用の中で。",待學,
〜と思います,想法,N5,補充,普通形 + と思います,我覺得...,"明日は雨だと思います。","我覺得明天會下雨。","この本はおもしろいと思います。","我覺得這本書很有趣。","前面通常接普通形，初學可先當固定句型。",待學,
